Organization Name,NY Reg #,EIN,Registrant Type,City,State
,,,,,
20TH CENTURY TRENDS INSTITUTE INC,01-05-97,066098560,NFP,STAMFORD,CT
5 Gyres Institute,46-37-04,271350279,NFP,SANTA MONICA,CA
AAP EDUCATION AND RESEARCH INSTITUTE INC,02-06-03,510189369,NFP,NEW YORK,NY
Ackerman Institute for the Family,00-44-43,131923959,NFP,NEW YORK,NY
"ACORN INSTITUTE, INC.",40-26-60,721488419,NFP,NEW ORLEANS,LA
Adelaide L. Sanford Institute,42-83-73,270589817,NFP,OAKLAND GARDENS,
"ADIRONDACK HEALTH INSTITUTE, INC",04-27-62,141698269,NFP,GLENS FALLS,NY
Adirondack Institute,06-13-46,852044141,NFP,GLENS FALLS,NY
Adirondack Leadership Institute Inc.,45-75-95,812414839,NFP,RAINBOW LAKE,NY
ADIRONDACK PARK INSTITUTE INC,04-35-90,222985477,NFP,NEWCOMB,NY
ADLER ALFRED INSTITUTE,00-71-82,136167200,NFP,NEW YORK,NY
advanced security training institute inc,47-36-32,810998962,NFP,BROOKLYN,
AEQUUS INSTITUTE,21-47-41,521620982,NFP,HILLSDALE,MI
AESC RESEARCH AND EDUCATION INSTITUTE INC,05-77-13,133871169,NFP,NEW YORK,NY
Africa-America Institute,00-48-04,530218859,NFP,NEW YORK,NY
